coreid,type,identifier,license
37f0a188-3697-4282-a5f4-74319babb6dc,,https://zenodo.org/record/2707828/files/CAM040458_d.JPG,
0f0f3c39-03e1-4bc1-8767-755cce527c6f,,https://zenodo.org/record/2714333/files/CAM040917_v.JPG,
60651f18-2d28-4128-a077-19dd8fdd100f,,https://zenodo.org/record/2684906/files/CAM008405_v.JPG,
888f5caa-0322-47c0-9666-a0e54ec32eeb,,https://zenodo.org/record/2714333/files/CAM040828_d.JPG,
ade4772b-0b30-48f8-86c2-b539a11b46e0,,https://zenodo.org/record/2686762/files/CAM008693_d.JPG,
3dd787e3-cdff-4f2d-b283-cb292dcba1d5,,https://zenodo.org/record/2714333/files/CAM041029_d.JPG,
08c8fec4-476e-43ef-b0c6-97eec3306faf,,https://zenodo.org/record/2707828/files/CAM040053_v.JPG,
8b462139-4bee-4bc0-ba2a-2b3f02db236f,,https://zenodo.org/record/2707828/files/CAM040069_d.JPG,
c9bf5430-71ff-4e9e-8dc7-033c64a33319,,https://zenodo.org/record/2682669/files/CAM001127_d.JPG,
5fe550a7-5dc2-41f9-9500-03d9ebbb7196,,https://zenodo.org/record/2707828/files/CAM040693_d.JPG,
54bd333d-7cff-4cfa-a770-a7512919c3bc,,https://zenodo.org/record/2702457/files/CAM021004_d.JPG,
c09819eb-5ef0-4c86-85b0-88251ac259d0,,https://zenodo.org/record/2707828/files/CAM040402_d.JPG,
a27c31aa-cfd0-4ac7-a6f3-66d62e0ea64c,,https://zenodo.org/record/2686762/files/CAM009127_d.JPG,
f0635f57-df7f-4575-a0d1-3c5b264616ec,,https://zenodo.org/record/2682458/files/CAM000609_d.JPG,
2b10a320-1156-4d6f-a1b2-d2cad3f6b284,,https://zenodo.org/record/2707828/files/CAM040212_d.JPG,
a54028ea-c02f-4193-b113-bc345b0c78ab,,https://zenodo.org/record/2714333/files/CAM041183_v.JPG,
17fda074-d23b-4ac7-bec7-a84788cd5a3e,,https://zenodo.org/record/2686762/files/CAM009118_v.JPG,
a0ec6e4e-cbaf-4591-943b-262493e76be0,,https://zenodo.org/record/2714333/files/CAM040707_v.JPG,
13fac62d-0983-4746-83fe-b1d491b56346,,https://zenodo.org/record/2714333/files/CAM041081_d.JPG,
78a0b97f-4449-405e-8cb2-13edd3119ef7,,https://zenodo.org/record/2686762/files/CAM009005_v.JPG,
bee11991-d290-48ef-9097-bc9a66f94180,,https://zenodo.org/record/2677821/files/CAM000489_v.JPG,
dc3715cf-59d0-440a-975a-302a3c180a19,,https://zenodo.org/record/2707828/files/CAM040363_d.JPG,
89d0c4d7-d2cb-487c-961c-2827ef65cfad,,https://zenodo.org/record/2714333/files/CAM041178_v.JPG,
b5eed5d7-c05c-425a-bdbe-447ed08694d0,,https://zenodo.org/record/2684906/files/CAM008505_v.JPG,
bf3ca2ca-cae2-4e85-ae74-9f432c00c15a,,https://zenodo.org/record/2686762/files/CAM009121_d.JPG,
5e5725bd-3337-45bd-9908-ba352593bfcd,,https://zenodo.org/record/2686762/files/CAM009195_d.JPG,
