id,occurrenceID,catalogNumber,datasetName,recordNumber,otherCatalogNumbers,basisOfRecord,eventDate,locality,country,decimalLatitude,decimalLongitude,geodeticDatum,year,sex,lifeStage,recordedBy,individualCount,taxonId,scientificName,scientificNameAuthorship,taxonRank,genus,family,order,class,kingdom,coordinateUncertaintyInMeters,dynamicProperties
0e9be195-a939-4d27-b756-797560b35046,0e9be195-a939-4d27-b756-797560b35046,CAM008682,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-22,"Pongo de Cainarache - Baranquita, Km 7.2,",Peru,-6.2897,-76.2289,4326,2002,Male,,,1,1900199,Heliconius hecale,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0eb856e3-3053-4877-8adf-21db590fba69,0eb856e3-3053-4877-8adf-21db590fba69,CAM040197,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-23,"Jardin Aleman, Misahualli",Ecuador,-1.01035,-77.67089,4326,2017,Male,,,1,,Heliconius melpomene ssp. malleti,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0ebcb476-266f-465f-ac85-3feec0f1e3a3,0ebcb476-266f-465f-ac85-3feec0f1e3a3,CAM120398,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-16,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Episcada sulphurea ssp. arcadia,,Subspecies,Episcada,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0ecb00d0-8139-4389-93ac-75cdf31a262e,0ecb00d0-8139-4389-93ac-75cdf31a262e,CAM008584,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-18,"Tarapoto-Yurimaguas (Km15), Tunel Cumbre, Fondo Biodiversidad,",Peru,-6.4584,-76.2877,4326,2002,Male,,,1,,Heliconius numata,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0ed8ff1c-959a-4a96-b271-a0e049a02b06,0ed8ff1c-959a-4a96-b271-a0e049a02b06,CAM120436,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-19,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Hypothyris ninonia ssp. mamercus,,Subspecies,Hypothyris,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0ed95452-2119-478d-92b3-eb23c9cf7ea0,0ed95452-2119-478d-92b3-eb23c9cf7ea0,CAM008011,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2000-08-12,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2000,Male,,,1,1895200,Greta nero,,Species,Greta,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0edfce0c-074a-485c-af43-da8df1e536f9,0edfce0c-074a-485c-af43-da8df1e536f9,CAM120527,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,,Male,,,1,,Mechanitis messenoides ssp. deceptus,,Subspecies,Mechanitis,,,,,,{}
0ee7df05-b881-4db4-bf3a-e94bab653b6e,0ee7df05-b881-4db4-bf3a-e94bab653b6e,CAM040817,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-07-07,"Puerto Quito, La Isla",Ecuador,0.11001,-79.23029,4326,2017,Male,,,1,1900787,Heliconius sara,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f07e0ea-fb63-470d-8327-cb15c3b681d4,0f07e0ea-fb63-470d-8327-cb15c3b681d4,CAM040999,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"San Pedro de Arajuno, trail",Ecuador,-1.09759,-77.5893,4326,,Male,,,1,,Heliconius melpomene ssp. malleti,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f0f3c39-03e1-4bc1-8767-755cce527c6f,0f0f3c39-03e1-4bc1-8767-755cce527c6f,CAM040917,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-09-07,Herrera to Bilsa 1,Ecuador,0.36858,-79.64549,4326,2017,Male,,,1,,Heliconius erato ssp. cyrbia,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f26b3db-595c-4a09-bd0a-363395cd9ecb,0f26b3db-595c-4a09-bd0a-363395cd9ecb,CAM008817,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-09-29,"Cana, around runway area,",Panamá,7.7568,-77.6841,4326,2002,Unknown,,,1,,Anartia fatima x amathea,,Species,Anartia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f313bfb-2f97-41aa-9834-4027714e8e85,0f313bfb-2f97-41aa-9834-4027714e8e85,CAM008031,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2000-09-08,"Cafe Duran Finca, near Santa Clara,",Panamá,8.8388,-82.7148,4326,2000,Female,,,1,1908148,Ithomia patilla,,Species,Ithomia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f7fae2c-c07c-4f5d-9bb1-f8275f401b8c,0f7fae2c-c07c-4f5d-9bb1-f8275f401b8c,CAM040967,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-11-07,Mindo to Finca Birdadvenrure 3,Ecuador,-0.0517,-78.78912,4326,2017,Male,,,1,,Heliconius erato ssp. cyrbia,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f866efb-415a-434e-adc7-d52dd475b5c3,0f866efb-415a-434e-adc7-d52dd475b5c3,CAM120605,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-29,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Callithomia lenea ssp. zelie,,Subspecies,Callithomia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0f8c696f-6e6c-48bb-bcf0-7ca1dc2111a5,0f8c696f-6e6c-48bb-bcf0-7ca1dc2111a5,CAM021189,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2014-03-05,"Bakhuis-Nickerie Rd, Sipaliwini, Suriname",Suriname,4.72,-56.81,4326,2014,Female,,,1,1900199,Heliconius hecale,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
